序号,企业名称,社会信用代码,来源,特殊备注,类别1,细分类别1,类别2,细分类别2,类别3,细分类别3,是否综合,专精特新,高新技术企业,独角兽企业,瞪羚企业,上市企业,主要数据产品或服务,经营状态,成立日期,注册资本,实缴资本,城市,区县,参保人数,规模,企业简介,国标门类,国标大类,国标中类,国标小类
27670,昆山中玉会计师事务所（普通合伙）,91320583313733635B,规上,,数据服务企业,,,,,,,,,,,,,存续,2014-09-12,30万元,30万元,苏州市,昆山市,24,S(小型),昆山中玉会计师事务所（普通合伙），执业证号：32050687，是于2014年9月成立的专业服务机构，2016年吸收合并昆山丰瑞联合会计师事务所后，发展至今员工人数已达40多人，其中包括注册会计师15人、税务师8人、中高级职称10多人，以及具有其他国际国内专业资格的人员若干名。,租赁和商务服务业,商务服务业,咨询与调查,会计、审计及税务服务
27058,东硕电子（昆山）有限公司,91320583729004831W,规上,,数据应用企业,,,,,,,,,,,,,在业,2001-06-18,3000万美元,3000万美元,苏州市,昆山市,221,S(小型),"东硕电子（昆山）有限公司成立于2001年6月18日，法定代表人为曹赐正。公司隶属于台湾东硕集团，专注于计算机外设及无线消费性产品的研发与生产，在笔记本电脑扩充基座领域具有专业经验。企业研发团队致力于开发HDMI周边产品、Thunderbolt3和USBType-C等外围装置，产品线覆盖计算机外设和消费电子领域。东硕电子与多家国际ODM厂商及经销商建立了长期合作关系，营销网络覆盖全球。公司秉持正派经营理念，以创新和可持续发展为长期目标。
东硕电子（昆山）有限公司在2024年获得省级上云企业、省级四星级上云企业和省级二级安全生产标准化企业等荣誉。该公司在计算机外设及无线消费性产品领域具备技术积累，与多家国际ODM厂商及经销商保持长期合作，营销网络覆盖全球。
以上内容由AI生成，仅供参考，请注意甄别。",制造业,计算机、通信和其他电子设备制造业,电子元件及电子专用材料制造,-
5536,苏州度城信息科技有限公司,91320594MA1MWPH93G,新增导入,数据分析,数据技术企业,数据加工分析,,,,,,,,,,,,在业,2016-10-10,100万元,100万元,苏州市,苏州工业园区,3,XS(微型),"苏州度城信息科技有限公司成立于2016-10-10，法定代表人为郭梦方，注册资本为100万元，统一社会信用代码为91320594MA1MWPH93G，企业注册地址位于苏州工业园区唯华路6号金沙商务广场2幢636室，所属行业为科技推广和应用服务业，经营范围包含：信息科技领域内的技术开发、技术转让、技术咨询、技术服务；测绘服务；大数据分析与处理、计算机软硬件开发、计算机系统集成、通信系统设备技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
一般项目：档案整理服务；卫星遥感数据处理；地理遥感信息服务；土地调查评估服务；土地整治服务；水文服务；水利相关咨询服务；市政设施管理；城乡市容管理；智能水务系统开发；人力资源服务（不含职业中介活动、劳务派遣服务）；轨道交通通信信号系统开发；对外承包工程（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务
19359,苏州天一动画有限公司,91320594791080878J,填报,,数据资源企业,,,,,,,,,,,,,存续,2006-08-16,300万元,300万元,苏州市,苏州工业园区,0,S(小型),苏州天一动画有限公司成立于2006-08-16，法定代表人为毛笃军，注册资本为300万元，统一社会信用代码为91320594791080878J，企业注册地址位于苏州工业园区金鸡湖路171号F1-15、F1-16、F1-17号，所属行业为专业技术服务业，经营范围包含：动画设计、制作、销售及提供技术服务；企业形象策划。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业
16055,南京米恒智能科技有限公司,91320113MA1MFFRE85,填报,,数据技术企业,,,,,,,,,,,,,在业,2016-02-24,1080万元,52.55万元,南京市,浦口区,3,XS(微型),"南京米恒智能科技有限公司成立于2016-02-24，法定代表人为童友俊，注册资本为1080万元，统一社会信用代码为91320113MA1MFFRE85，企业注册地址位于南京市江北新区研创园星火路14号长峰大厦裙楼419室，所属行业为软件和信息技术服务业，经营范围包含：许可项目：计算机信息系统安全专用产品销售；建设工程施工（除核电站建设经营、民用机场建设）；建设工程设计；第三类医疗器械经营；电气安装服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：软件开发；计算机软硬件及辅助设备零售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；网络技术服务；信息系统集成服务；互联网设备销售；互联网销售（除销售需要许可的商品）；电子元器件零售；电子产品销售；通讯设备销售；网络设备销售；软件销售；体育场地设施工程施工；建筑装饰材料销售；安防设备销售；信息安全设备销售；智能仪器仪表销售；人工智能硬件销售；物料搬运装备销售；发电机及发电机组销售；矿山机械销售；机械零件、零部件销售；液压动力机械及元件销售；机械电气设备销售；电气信号设备装置制造；电子专用设备制造；办公设备耗材销售；专用化学产品销售（不含危险化学品）；第二类医疗器械销售；第一类医疗器械销售；电容器及其配套设备销售；输变配电监测控制设备销售；电工器材销售；电力设施器材销售；电线、电缆经营；五金产品批发；环境保护专用设备销售；仪器仪表销售；家居用品销售；针纺织品销售；日用百货销售；音响设备销售；人工智能行业应用系统集成服务；数字技术服务；技术推广服务；体育用品及器材批发；金属制品销售；纺织专用设备销售；皮革销售；橡胶制品销售；箱包销售；办公服务；新能源原动设备销售；光伏设备及元器件销售；幻灯及投影设备销售；摄像及视频制作服务；照相机及器材销售；货物进出口；技术进出口；进出口代理；劳务服务（不含劳务派遣）；显示器件销售；照明器具销售；教学用模型及教具销售；家用电器销售；智能无人飞行器销售；租赁服务（不含许可类租赁服务）；数据处理和存储支持服务；通用设备修理；通信传输设备专业修理；广播电视设备专业修理；信息系统运行维护服务；计算机及办公设备维修；普通机械设备安装服务；家具安装和维修服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
30900,江苏煜坤建筑安装有限公司,91321081703919929R,规上,,数据资源企业,,,,,,,,,,,,,在业,1996-05-28,3600万元,3600万元,扬州市,仪征市,27,M(中型),"江苏煜坤建筑安装有限公司成立于1996-05-28，法定代表人为王军，注册资本为3600万元，统一社会信用代码为91321081703919929R，企业注册地址位于仪征化纤长江路（仪化三中对面），所属行业为房屋建筑业，经营范围包含：建筑工程施工总承包（贰级）；市政公用工程施工总承包（叁级）；防水防腐保温工程专业承包（贰级）；建筑装修装饰工程专业承包（贰级）；建筑机电安装工程专业承包（叁级）；钢结构制作、安装；园林绿化工程施工。建筑劳务分包（依法须经批准的项目，经相关部门批准后方可开展经营活动）
一般项目：白蚁防治服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",建筑业,房屋建筑业,-,-
4597,苏州小波工业互联网有限公司,91320507MABPLQUQ9P,新增导入,互联网平台,数据资源企业,,,,,,,,,,,,,存续,2022-06-08,100万元,75万元,苏州市,相城区,1,XS(微型),苏州小波工业互联网有限公司成立于2022-06-08，法定代表人为高嘉程，注册资本为100万元，统一社会信用代码为91320507MABPLQUQ9P，企业注册地址位于江苏省苏州市相城区经济技术开发区澄阳街道富元路富阳工业坊7号厂房218室，所属行业为互联网和相关服务，经营范围包含：一般项目：工业互联网数据服务；互联网设备销售；信息咨询服务（不含许可类信息咨询服务）；软件开发；物联网应用服务；物联网设备销售；物联网技术研发；物联网技术服务；信息系统集成服务；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件销售；软件外包服务；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；办公设备租赁服务；计算机及通讯设备租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,互联网和相关服务,互联网数据服务,互联网数据服务
12149,无锡禾健物流发展有限公司,913202065738289729,自有,,数据资源企业,互联网数据资源企业,,,,,,,,,,,,在业,2011-05-10,20000万元,20000万元,无锡市,惠山区,31,S(小型),"无锡禾健物流发展有限公司成立于2011年5月，法定代表人为马立雨，是一家位于江苏省无锡市惠山区的物流企业。公司持有道路运输经营许可证，主营业务包括道路货物运输、食品销售以及道路货物运输站经营。作为一家专注于物流服务的企业，禾健物流通过规范的运输管理和服务，满足客户在货物运输和仓储方面的需求。
无锡禾健物流发展有限公司在2022年获得中国物流社会责任先锋企业称号，2023年被评为省级中小企业公共服务示范平台和省级现代服务业高质量发展领军企业。
以上内容由AI生成，仅供参考，请注意甄别。",交通运输、仓储和邮政业,道路运输业,道路货物运输,-
27971,无锡市乾野微纳科技有限公司,91320211MA2030AB03,规上,,数据技术企业,,,,,,,,,,,,,在业,2019-09-12,3000万元,2920万元,无锡市,滨湖区,12,S(小型),无锡市乾野微纳科技有限公司成立于2019-09-12，法定代表人为罗好晖，注册资本为3000万元，统一社会信用代码为91320211MA2030AB03，企业注册地址位于无锡市滨湖区建筑西路777号A3幢6层615，所属行业为科技推广和应用服务业，经营范围包含：一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；半导体分立器件制造；电子元器件制造；集成电路设计；技术进出口；货物进出口；电子产品销售；软件开发；软件销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,-
197,江苏国民大数据科技有限公司,91320191MABTLXY55L,入库,,数据服务企业,,,,,,,,,,,,,在业,2022-07-05,1000万元,-,南京市,建邺区,0,S(小型),"江苏国民大数据科技有限公司成立于2022-07-05，法定代表人为胡翠霞，注册资本为1000万元，统一社会信用代码为91320191MABTLXY55L，企业注册地址位于南京市建邺区西城路300号君泰国际1幢15层1501室，所属行业为商务服务业，经营范围包含：许可项目：第一类增值电信业务；第二类增值电信业务；在线数据处理与交易处理业务（经营类电子商务）；互联网信息服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：大数据服务；互联网数据服务；工业互联网数据服务；数据处理和存储支持服务；数据处理服务；数字技术服务；信息系统集成服务；计算机系统服务；资产评估；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；接受金融机构委托从事信息技术和流程外包服务（不含金融信息服务）；信息技术咨询服务；融资咨询服务；社会经济咨询服务；经济贸易咨询；信息咨询服务（不含许可类信息咨询服务）；软件外包服务；智能控制系统集成；科技中介服务；互联网安全服务；人工智能应用软件开发；人工智能公共数据平台；线下数据处理服务；公共资源交易平台运行技术服务；科技推广和应用服务；市场调查（不含涉外调查）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理
15522,南京巴兰塔信息科技有限公司,91320105339301099H,填报,,数据技术企业,,,,,,,,,,,,,存续,2015-06-02,1万元,-,南京市,栖霞区,55,S(小型),南京巴兰塔信息科技有限公司成立于2015-06-02，法定代表人为汤伟程，注册资本为1万元，统一社会信用代码为91320105339301099H，企业注册地址位于南京市栖霞区马群街道紫东路2号A1栋103室，所属行业为软件和信息技术服务业，经营范围包含：许可项目：网络文化经营；广播电视节目制作经营；第二类增值电信业务；食品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：信息技术咨询服务；科技推广和应用服务；软件开发；软件销售；市场营销策划；广告设计、代理；广告制作；广告发布；会议及展览服务；专业设计服务；动漫游戏开发；电影摄制服务；食品互联网销售（仅销售预包装食品）；新鲜水果零售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
22148,南通宾鑫信息科技有限公司,91320602MAE9UBGJ1X,填报,,数据技术企业,,,,,,,,,,,,,在业,2025-02-12,500万元,-,南通市,崇川区,-,S(小型),南通宾鑫信息科技有限公司成立于2025-02-12，法定代表人为沈炜，注册资本为500万元，统一社会信用代码为91320602MAE9UBGJ1X，企业注册地址位于江苏省南通市崇川区通京大道86号校西科技园3号楼201-1室，所属行业为软件和信息技术服务业，经营范围包含：一般项目：信息咨询服务（不含许可类信息咨询服务）；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工业互联网数据服务；技术推广服务；互联网数据服务；大数据服务；数字内容制作服务（不含出版发行）；广告发布；数字广告发布；数字广告设计、代理；工业设计服务；数字技术服务；物联网技术服务；科技推广和应用服务；平面设计；广告制作；广告设计、代理；软件开发；摄像及视频制作服务；电影摄制服务；个人互联网直播服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
24557,中国电子物资苏浙公司,913200001347575782,规上,,数据资源企业,,,,,,,,,,,,,存续,1989-09-22,2800万元,2800万元,南京市,鼓楼区,55,S(小型),-,批发和零售业,批发业,机械设备、五金产品及电子产品批发,-
9486,南京斯达通自动化科技有限公司,91320115088204592W,自有,,数据技术企业,数据采集汇聚技术企业,,,,,,,,,,,,在业,2014-01-20,300万元,200万元,南京市,江宁区,3,XS(微型),南京斯达通自动化科技有限公司成立于2014-01-20，法定代表人为陈正军，注册资本为300万元，统一社会信用代码为91320115088204592W，企业注册地址位于南京市江宁区秣陵街道天元西路59号1栋216室（江宁开发区），所属行业为批发业，经营范围包含：自动化技术研发、技术服务、技术咨询及技术转让；计算机软硬件开发及相关技术服务；计算机、网络设备、软件及辅助设备、工业自动化设备、电子产品、电子元器件销售；电气成套设备及配件的设计、安装、调试及销售；数据采集系统的设计、安装与调试；网络工程设计、施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为在业。,批发和零售业,批发业,机械设备、五金产品及电子产品批发,-
2975,江苏网际云计算有限公司,91320114MA1PC71M24,新增导入,云计算,数据基础设施企业,数据存算设施,,,,,,,,,,,,存续,2017-07-07,1000万元,1000万元,南京市,雨花台区,2,XS(微型),江苏网际云计算有限公司成立于2017-07-07，法定代表人为张华，注册资本为1000万元，统一社会信用代码为91320114MA1PC71M24，企业注册地址位于南京市雨花台区雨花经济开发区凤华路18号1幢B315-5室，所属行业为软件和信息技术服务业，经营范围包含：数据处理和存储服务；软件和信息技术服务业。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
1189,扬州曙光电缆股份有限公司,913210001409502864,入库,工业制造应用企业,数据基础设施企业,,,,,,,,,,,,,存续,1990-04-10,30348万元,22480万元,扬州市,高邮市,547,M(中型),"扬州曙光电缆股份有限公司成立于1990年4月，董事长为郑连元，曾在新三板挂牌。公司是专业生产电线电缆的企业，主要产品包括交联电力电缆、塑力缆、架空绝缘电缆、屏蔽控制和计算机电缆、矿用电缆等系列。产品应用于电力系统、石油化工、新能源、轨道交通等领域。
曙光电缆连续入选中国线缆产业最具竞争力企业百强榜、江苏省线缆产业高质量创新发展企业30强榜单和省级专精特新中小企业。该公司在电力电缆领域具有稳定的市场地位，产品广泛应用于发电、输配电等关键环节。随着行业规范化发展，曙光电缆在质量控制方面形成竞争优势，同时受益于新能源和轨道交通等新兴领域的市场需求增长。
近期，特变电工子公司收购曙光电缆股权案获得市场监管总局无条件批准，标志着该交易顺利完成。特变电工以9.46亿元收购其74.19%股权，旨在加强在核电和轨道交通等高端电力领域的布局，补充技术短板并拓展市场。此次收购被视为特变电工战略调整的一部分，从规模扩张转向技术竞争，特别是在核电电缆领域具有重要价值。
以上内容由AI生成，仅供参考，请注意甄别。",制造业,电气机械和器材制造业,电线、电缆、光缆及电工器材制造,-
31560,连云港山海科技开发有限公司,91320791MA1X4BJG2D,规上,,数据应用企业,,,,,,,,,,,,,存续,2018-08-30,500万元,500万元,连云港市,连云港经济技术开发区,1,XS(微型),连云港山海科技开发有限公司成立于2018-08-30，法定代表人为钟婷，注册资本为500万元，统一社会信用代码为91320791MA1X4BJG2D，企业注册地址位于中国（江苏）自由贸易试验区连云港片区经济技术开发区盐池西路7号办公室楼201-899号，所属行业为研究和试验发展，经营范围包含：许可项目：互联网信息服务；安全生产检验检测（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；健康咨询服务（不含诊疗服务）；社会经济咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；市场营销策划；财务咨询；企业形象策划；品牌管理；广告设计、代理；广告发布；广告制作；个人商务服务；项目策划与公关服务；礼仪服务；会议及展览服务；图文设计制作；文艺创作；日用百货销售；市场调查（不含涉外调查）；软件开发；商务代理代办服务；代驾服务；汽车拖车、求援、清障服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展
18532,南京君成保健信息科技有限公司,91320115339319301H,填报,,数据应用企业,,,,,,,,,,,,,存续,2015-06-05,300万元,300万元,南京市,江宁区,3,XS(微型),南京君成保健信息科技有限公司成立于2015-06-05，法定代表人为孙学富，注册资本为300万元，统一社会信用代码为91320115339319301H，企业注册地址位于南京市江宁区东山街道上元大街589号11幢，所属行业为专业技术服务业，经营范围包含：保健技术研发；保健食品、保健用品、化妆品、日用品、办公用品、医疗器械销售；电子商务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：消毒剂销售（不含危险化学品）；食品销售（仅销售预包装食品）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,专业技术服务业,-,-
12006,苏州知己信息科技有限公司,91320506MA1XUM5W69,自有,,数据服务企业,数据咨询企业,,,,,,,,,,,,在业,2019-01-25,10万元,-,苏州市,吴中区,0,XS(微型),苏州知己信息科技有限公司成立于2019-01-25，法定代表人为朱兆云，注册资本为10万元，统一社会信用代码为91320506MA1XUM5W69，企业注册地址位于苏州市吴中区长桥街道财智商务广场5幢3-108号，所属行业为专业技术服务业，经营范围包含：信息科技领域内的技术开发、技术咨询、技术服务、技术转让；研发、设计、销售：计算机软硬件；计算机系统集成服务；数据库处理服务；商务信息咨询，企业管理咨询，旅游信息咨询；市场营销策划，企业形象策划；会务服务，展览展示服务；设计、制作、代理、发布国内各类广告。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为在业。,科学研究和技术服务业,专业技术服务业,-,-
29820,江苏传杰环保工程有限公司,91320411MA1YL2DN03,规上,,数据应用企业,,,,,,,,,,,,,在业,2019-06-21,1000万元,556.209231万元,常州市,天宁区,0,S(小型),江苏传杰环保工程有限公司成立于2019-06-21，法定代表人为刘西彬，注册资本为1000万元，统一社会信用代码为91320411MA1YL2DN03，企业注册地址位于常州市天宁区河海东路11号，所属行业为土木工程建筑业，经营范围包含：环保工程、钢结构工程、水电安装工程、安防工程、消防工程、照明工程、空调安装工程、防腐保温工程的设计、施工；软件开发；计算机技术开发、技术咨询、技术转让、技术推广；环保设备研发、销售、维修；金属材料、普通机械设备及配件、金属包装容器及零部件、排水设备、暖通设备、管道、气压动力机械的销售、安装、维修；仓储服务（除危险品）；道路货运经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为在业。,建筑业,土木工程建筑业,-,-
28999,如皋通铭科技服务有限公司,91320682MAC5RBK403,规上,,数据应用企业,,,,,,,,,,,,,在业,2022-12-08,1000万元,-,南通市,如皋市,0,S(小型),如皋通铭科技服务有限公司成立于2022-12-08，法定代表人为邬海峰，注册资本为1000万元，统一社会信用代码为91320682MAC5RBK403，企业注册地址位于如皋市石庄镇唐埠村一组16号，所属行业为研究和试验发展，经营范围包含：一般项目：工程和技术研究和试验发展；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；网络技术服务；票据信息咨询服务；科技推广和应用服务；企业管理；农业机械服务；礼品花卉销售；电子产品销售；软件开发；软件销售；计算机软硬件及辅助设备零售；家用电器销售；日用百货销售；化妆品零售；化妆品批发；食用农产品零售；食用农产品批发；会议及展览服务；小微型客车租赁经营服务；园林绿化工程施工；食品销售（仅销售预包装食品）；货物进出口；技术进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展
29200,常州景轩园林建设工程有限公司,913204126668326392,规上,,数据资源企业,,,,,,,,,,,,,在业,2007-09-18,1000万元,1000万元,常州市,武进区,7,S(小型),"常州景轩园林建设工程有限公司成立于2007-09-18，法定代表人为许建军，注册资本为1000万元，统一社会信用代码为913204126668326392，企业注册地址位于武进区湟里镇安北村，所属行业为土木工程建筑业，经营范围包含：园林绿化工程、古典园林建筑工程、市政工程、城市及道路照明工程、土石方工程、装潢装饰工程设计，施工；山体造绿；假山、喷泉、雕塑设计，制作，安装；苗木、花卉种植，销售；绿化养护；建筑材料、装饰材料、五金产品、家用电器、日用品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
许可项目：建设工程施工；建筑劳务分包（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：土壤污染治理与修复服务；专业保洁、清洗、消毒服务；物业管理；城市绿化管理；建筑工程机械与设备租赁；道路货物运输站经营；企业管理咨询；以自有资金从事投资活动；融资咨询服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",建筑业,土木工程建筑业,其他土木工程建筑,-
4344,南京新越阳科技有限公司,91320114MA25940EXM,新增导入,"数字低空, 大模型",数据应用企业,,数据技术企业,,,,,,,,,,,在业,2021-02-25,1000万元,80万元,南京市,江宁区,22,S(小型),"南京新越阳科技有限公司成立于2021年2月25日，法定代表人为董行。公司以深度学习与机器视觉为核心技术，专注于智能化驱鸟产品及解决方案的研发，服务于低空经济、数字农业和智慧能源等领域。公司自主研发了视图结构化技术、视频智能算法及高精度伺服控制系统，构建了全维智能感知引擎。公司通过了ISO9001质量管理体系、ISO14001环境管理体系和ISO18001职业健康安全管理体系认证，并获得3A级信用企业认证。现有员工60余人，其中博士2人，硕士10余人，本科以上学历占比超过90%，研发团队具备近15年的军用光电产品研发经验。公司与南京航空航天大学、南京理工大学、南京林业大学等高校保持产学研合作。
南京新越阳科技有限公司2025年获得国家级高新技术企业和国家级科技型中小企业称号。该公司在江苏软件企业主管部门完成双光摄像头行为分析系统软件产品登记，享受税收和财政补贴等优惠政策。该公司开发的基于人工智能的分布式智能生物驱逐系统获得专利授权，该系统通过无线通信自动组网、雷达轨迹预测分类算法等技术实现大范围、高效率、低能耗的智能协同生物驱逐。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,科技推广和应用服务业,-,-
500,璞华科技有限公司,91320594302066144D,入库,,数据应用企业,,,,,,,,,,,,,在业,2014-05-21,5061.4万元,5061.4万元,苏州市,苏州工业园区,80,S(小型),"璞华科技有限公司成立于2014-05-21，法定代表人李晓敏。璞华以多年精耕细作的行业经验为基础，将行业经验与数字化、网络、智能化相结合，与用户一起推动智能制造的不断升级和进化。智能制造、供应链解决方案覆盖数字金融、产品生命周期管理（PLM,ProductLife-CycleManagement）、项目管理系统（PMS,ProductManagementSystem）、订单协同管理、采购供应链管理、设备数字化管理（设备生命周期管理及IOT应用）、产品信息创作、智能包装、机器人控制与调度等多个领域。公司现有员工1000余人，在全球拥有苏州、武汉、北京、香港、东京等研发中心。
璞华科技有限公司近年获得2025年国家级科技型中小企业、2025年省级专精特新中小企业和2024年市级重点软件企业三项重要荣誉。
近期，方正璞华向软服之家发送感谢信，对其在软件服务领域的贡献表示认可，双方将继续深化合作共同推动产业发展。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
22112,江苏腾源智能科技有限公司,91320602398297528N,填报,,数据技术企业,,,,,,,,,,,,,在业,2014-07-16,2000万元,1133万元,南通市,崇川区,21,S(小型),"江苏腾源智能科技有限公司成立于2014年7月，法定代表人为王洪军。公司专注于智能硬件集成综合解决方案、云服务软件和人工智能等领域的研发及应用，产品技术和解决方案应用于医院、学校、银行及集团上市企业等场景。企业以'奔腾不息、饮水思源、科技立事、传统树人'为宗旨，秉持'创新、合作、求精、共赢'的发展理念，通过'解决问题、创造价值'的服务理念推动业务发展。
江苏腾源智能科技有限公司在2025年获得国家级高新技术企业认定，同年入选省级民营科技企业，2023年被评为省级创新型中小企业。该公司专注于智能硬件集成和人工智能领域，其产品技术和解决方案在医院、学校等场景得到应用。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,研究和试验发展,-,-
7607,常州东梁国际供应链管理有限公司,91320402MAELWNDT97,新增导入,,数据应用企业,工业制造,,,,,,,,,,,,在业,2025-06-03,500万元,-,常州市,天宁区,-,S(小型),常州东梁国际供应链管理有限公司成立于2025-06-03，法定代表人为王金晶，注册资本为500万元，统一社会信用代码为91320402MAELWNDT97，企业注册地址位于江苏省常州市天宁区雕庄街道凤凰岛北路528号1幢3层306-15室（集群登记），所属行业为商务服务业，经营范围包含：一般项目：供应链管理服务；工业互联网数据服务；信息技术咨询服务；网络与信息安全软件开发；商务代理代办服务；社会经济咨询服务；会议及展览服务；国内贸易代理；贸易经纪；离岸贸易经营；货物进出口；化工产品销售（不含许可类化工产品）；食品进出口；技术进出口；纺织专用测试仪器销售；包装材料及制品销售；通用加料、分配装置销售；实验分析仪器销售；新型催化材料及助剂销售；办公设备耗材销售；仪器仪表销售；棉花加工机械销售；家用电器销售；智能车载设备销售；互联网设备销售；制冷、空调设备销售；纺织专用设备销售；办公设备销售；工业机器人销售；包装专用设备销售；专用化学产品销售（不含危险化学品）；厨具卫具及日用杂品零售；厨具卫具及日用杂品批发；日用品销售；家具销售；建筑材料销售；照明器具销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务
8972,江苏米蜂科技有限公司,91320913MA22C7UU3U,新增导入,互联网平台,数据资源企业,,,,,,,,,,,,,存续,2020-09-03,1000万元,-,盐城市,盐都区,0,S(小型),江苏米蜂科技有限公司成立于2020-09-03，法定代表人为张天辰，注册资本为1000万元，统一社会信用代码为91320913MA22C7UU3U，企业注册地址位于盐城市盐南高新区人民南路38号新龙广场11号楼1308室（CNK），所属行业为研究和试验发展，经营范围包含：许可项目：网络预约出租汽车经营服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；互联网销售（除销售需要许可的商品）；广告设计、代理；广告制作；商务代理代办服务；在保险公司授权范围内开展专属保险代理业务（凭授权经营）；汽车租赁；汽车拖车、求援、清障服务；机动车修理和维护；停车场服务；会议及展览服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,研究和试验发展,-,-
29765,德心智能科技（常州）有限公司,91320402MA21TYPF44,规上,,数据应用企业,,,,,,,,,,,,,存续,2020-06-28,108.056708万元,108.056708万元,常州市,天宁区,25,S(小型),"德心智能科技（常州）有限公司成立于2020年6月28日，法定代表人为杨绍分。公司主营业务聚焦智能家居健康监测领域，旗下产品【德心小宝】采用毫米波雷达技术和人工智能算法，为家庭提供非接触式健康监测解决方案。该产品在不侵犯隐私的前提下实现全天候精准感知，旨在提升居家安全管理水平。
德心智能科技（常州）有限公司2023年获评国家级高新技术企业和省级智慧健康养老重点企业，2025年入选国家级科技型中小企业。该公司依托常州总部和上海研发中心的区位优势，在多传感器技术领域形成自主创新能力，拥有60GHz/77GHz毫米波雷达等核心专利技术。在行业规范化发展背景下，公司通过'以德立足，用心做事'的企业文化构建质量管理体系，其毫米波雷达技术方案在汽车ADAS、智能家居等领域建立了技术壁垒。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,科技推广和应用服务业,-,-
